reservation_id,user_id,campaign_id,product_id,site,reserve_flag,order_flag,reserved_not_ordered_flag,reserve_time,order_id,order_time
R001,U001,CMP001,P1701,DE,1,1,0,2026-08-02 10:00:00,O001,2026-08-06 09:00:00
R002,U002,CMP001,P1701,DE,1,1,0,2026-08-02 11:00:00,O002,2026-08-07 11:20:00
R003,U003,CMP001,P1701,DE,1,1,0,2026-08-03 08:30:00,O003,2026-08-08 14:10:00
R004,U004,CMP001,P1701,DE,1,1,0,2026-08-03 12:40:00,O004,2026-08-09 10:45:00
R005,U005,CMP001,P1701,DE,1,1,0,2026-08-04 09:20:00,O005,2026-08-10 18:10:00
R006,U006,CMP001,P1701,DE,1,0,1,2026-08-04 10:10:00,,
R007,U007,CMP001,P1701,DE,1,0,1,2026-08-05 13:30:00,,
R008,U008,CMP001,P1701,DE,1,0,1,2026-08-05 15:50:00,,
R101,U101,CMP101,P1701,SG,1,1,0,2026-08-02 10:10:00,O101,2026-08-06 09:20:00
R102,U102,CMP101,P1701,SG,1,0,1,2026-08-03 11:10:00,,
