fdate,fetl_time,fid,fuser_id,fuser_id_hash,fcampaign_id,fproduct_id,fcountry_code,freserve_flag,forder_flag,ftag_reserved_not_paid,freservation_time,forder_time,fcreate_time,fmodify_time
2026-08-08,2026-08-09 02:30:00,5001,U001,HASH_U001,CMP001,P001,DE,1,1,0,2026-08-02 10:00:00,2026-08-03 12:00:00,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5002,U002,HASH_U002,CMP001,P001,DE,1,1,0,2026-08-03 10:00:00,2026-08-04 12:00:00,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5003,U003,HASH_U003,CMP001,P001,DE,1,1,0,2026-08-04 10:00:00,2026-08-05 12:00:00,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5004,U004,HASH_U004,CMP001,P001,DE,1,1,0,2026-08-05 10:00:00,2026-08-06 12:00:00,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5005,U005,HASH_U005,CMP001,P001,DE,1,1,0,2026-08-06 10:00:00,2026-08-07 12:00:00,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5006,U006,HASH_U006,CMP001,P001,DE,1,0,1,2026-08-07 10:00:00,,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5007,U007,HASH_U007,CMP001,P001,DE,1,0,1,2026-08-08 10:00:00,,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5008,U008,HASH_U008,CMP001,P001,DE,1,0,1,2026-08-09 10:00:00,,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5101,U101,HASH_U101,CMP002,P001,DE,1,0,1,2026-08-12 10:00:00,,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5201,U201,HASH_U201,CMP003,P001,SG,1,1,0,2026-08-03 10:00:00,2026-08-05 12:00:00,2026-07-01 10:00:00,2026-08-08 20:00:00
2026-08-08,2026-08-09 02:30:00,5010,U010,HASH_U010,CMP001,P002,DE,1,0,1,2026-08-10 10:00:00,,2026-07-01 10:00:00,2026-08-08 20:00:00
